microsoft/playwright-cli	user	1827bc82dcdd0f79c3e0e6d1857158ea686368cdf08457265b888ed95b5c59e6
larksuite/cli	user	05480abe54a83464c214fd5d283c5c2542722ec5cc929e30a6651454878b4d73
git@code.byted.org:byteapi/bytedcli.git	user	b1d90aaca0dc803631d594088bf0e6be3790ec9001a74a4269c0f89125d19be9
git@code.byted.org:machinelearning/super-ops.git	user	4b645ee1459b80e5423d053565fd9a42c9b7fe574d33876cda38cdc459fa7a0d
JochenYang/luma-mcp	user	222ef9d680ed31b039a3caee7594ed1e34535ee90a2dfdcd15b6e8ce0503344e
yanickxia/agent-vision	user	2d6ccecad4d0ae2374b31bf3b6de75d5a1a0a92cb5acf388c596fe58e1a2d4e2
yanickxia/skills	user	58a0c3610ab221949cf2edf3e00d88c7c7e63a45875600e26a1b47322f144491
git@code.byted.org:xiayan.cn/skills.git	user	798eab3cc8d27a9e1515a2c99cd0e9781f8e53d39183b0b121f479ac90412015
krodak/clickup-cli	user	e1e02c11f1a1e42aa2123ed70913367e4a63ede3e33c964412e8b101467ae906
skills.byted.org/Ark_Engineering_SRE/mlops_cicd_lane	user	890b0fff7c1e573c5c779e362b6af64a59b2e4fdc6c0fe97f6f5b5d1d825a9ca
